index,Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Private Or Public,Industry,Sector,Revenue,Competitors
368,Data Scientist,$112K-$116K ,4.7,"Compass Consulting Group
4.7","Thousand Oaks, CA","Danville, CA",51 to 200 employees,2008,Company - Private, Private,Consulting,Business Services,Unknown / Non-Applicable,None
369,Data Science Software Engineer,$112K-$116K ,4.8,"Klaviyo
4.8","Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private, Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,None
370,AI Ops Data Scientist,$112K-$116K ,4,"AstraZeneca
4.0","Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913,Company - Public, Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis"
371,Data Scientist,$112K-$116K ,4.4,"SolutionIT, Inc.
4.4","Edison, NJ","Wilmington, MA",51 to 200 employees,None,Company - Private, Private,None,None,Unknown / Non-Applicable,None
372,Data Scientist,$112K-$116K ,3.2,"Perspecta
3.2","Adelphi, MD","Chantilly, VA",10000+ employees,2018,Company - Public, Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,None
373,Data Scientist,$112K-$116K ,4.5,"Smith Hanley Associates
4.5","Washington, DC","New York, 061",1 to 50 employees,1980,Company - Private, Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,"Kforce, PageGroup, Robert Half"
374,Scientist - Machine Learning,$112K-$116K ,3.5,"Allen Institute
3.5","Seattle, WA","Seattle, WA",201 to 500 employees,2003,Nonprofit Organization,Non Profit,Research & Development,Business Services,$100 to $500 million (USD),None
375,Data Scientist,$112K-$116K ,4.4,"Eliassen Group
4.4","Plano, TX","Reading, MA",1001 to 5000 employees,1989,Company - Private, Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"TEKsystems, Kforce, Randstad US"
376,Data Scientist,$112K-$116K ,3.1,"Bayside Solutions
3.1","Sunnyvale, CA","Pleasanton, CA",1 to 50 employees,2001,Company - Private, Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),None
377,Sr. Data Scientist,$112K-$116K ,3.5,"Evolve Vacation Rental
3.5","Denver, CO","Denver, CO",201 to 500 employees,2011,Company - Private, Private,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable,None
378,Data Scientist,$112K-$116K ,3.8,"AgreeYa Solutions
3.8","Thousand Oaks, CA","Folsom, CA",1001 to 5000 employees,1999,Company - Private, Private,IT Services,Information Technology,$50 to $100 million (USD),None
379,Data Scientist,$112K-$116K ,3.7,"Carolina Power & Light Co
3.7","McLean, VA","Raleigh, NC",5001 to 10000 employees,1908,Subsidiary or Business Segment,Non Profit,Energy,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,"South Carolina Electric & Gas, Virginia Electric and Power"
380,Analytics Manager - Data Mart,$112K-$116K ,3.5,"Central California Alliance for Health
3.5","Scotts Valley, CA","Scotts Valley, CA",501 to 1000 employees,1996,Nonprofit Organization,Non Profit,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),None
381,Data Modeler (Analytical Systems),$112K-$116K ,3.7,"MassMutual
3.7","Boston, MA","Springfield, MA",5001 to 10000 employees,1851,Company - Private, Private,Insurance Carriers,Insurance,$10+ billion (USD),None
382,Applied AI Scientist / Engineer,$112K-$116K ,5,"New Iron Group, Inc.
5.0","Boston, MA","Austin, TX",1 to 50 employees,2003,Contract,Non Profit,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,None
383,"Data Engineer (Analytics, SQL, Python, AWS)",$112K-$116K ,4,"Travelers
4.0","Hartford, CT","Hartford, CT",10000+ employees,1853,Company - Public, Public,Insurance Carriers,Insurance,$10+ billion (USD),None
384,Senior Data Analyst - Finance & Platform Analytics,$112K-$116K ,3.6,"Twitch
3.6","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2011,Subsidiary or Business Segment,Non Profit,Internet,Information Technology,Unknown / Non-Applicable,None
385,Senior Data Scientist,$110K-$163K ,4.8,"Klaviyo
4.8","Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private, Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,None
386,Market Research Data Scientist,$110K-$163K ,3.8,"GutCheck
3.8","Denver, CO","Denver, CO",51 to 200 employees,2009,Company - Private, Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),"Nielsen, Zappi, SurveyMonkey"
387,IT Partner Digital Health Technology and Data Science,$110K-$163K ,3.6,"Biogen
3.6","Cambridge, MA","Cambridge, MA",5001 to 10000 employees,1978,Company - Public, Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),None
388,Data Scientist,$110K-$163K ,0,HireAi,"San Francisco, CA",None,None,None,None,1,None,None,None,None
389,Data Scientist,$110K-$163K ,0,HireAi,"San Francisco, CA",None,None,None,None,1,None,None,None,None
390,"Senior Machine Learning Scientist - Bay Area, CA",$110K-$163K ,3.3,"Tempus Labs
3.3","Redwood City, CA","Chicago, IL",501 to 1000 employees,2015,Company - Private, Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,None
391,"Software Engineer (Data Scientist, C,C++,Linux,Unix) - SISW - MG",$110K-$163K ,4.1,"Mentor Graphics
4.1","Fremont, CA","Wilsonville, OR",5001 to 10000 employees,1981,Company - Public, Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),"Cadence Design Systems, Synopsys, Altium Limited"
392,Senior Clinical Data Scientist Programmer,$110K-$163K ,3.6,"WCG (WIRB-Copernicus Group)
3.6","Hamilton, NJ","Princeton, NJ",1001 to 5000 employees,None,Company - Private, Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),None
393,Data Engineer,$110K-$163K ,4.5,"Kingfisher Systems
4.5","Falls Church, VA","Falls Church, VA",51 to 200 employees,2005,Company - Private, Private,Federal Agencies,Government,$25 to $50 million (USD),None
394,Computer Vision / Deep Learning Scientist,$110K-$163K ,3.3,"Tempus Labs
3.3","Chicago, IL","Chicago, IL",501 to 1000 employees,2015,Company - Private, Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,None
395,Data Solutions Engineer - Data Modeler,$110K-$163K ,3.4,"Liberty Mutual Insurance
3.4","Indianapolis, IN","Boston, MA",10000+ employees,1912,Company - Private, Private,Insurance Carriers,Insurance,$10+ billion (USD),"Travelers, Allstate, State Farm"
396,Data Scientist,$110K-$163K ,4.3,"Visionary Integration Professionals
4.3","Washington, DC","Folsom, CA",501 to 1000 employees,1996,Company - Private, Private,IT Services,Information Technology,$100 to $500 million (USD),"CGI (Nevada), Accenture, Deloitte"
397,Data Scientist (TS/SCI w/ Poly),$110K-$163K ,3.5,"Maxar Technologies
3.5","Herndon, VA","Westminster, CO",5001 to 10000 employees,None,Company - Public, Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),None
398,Weapons and Sensors Engineer/Scientist,$110K-$163K ,4,"Dynetics
4.0","Huntsville, AL","Huntsville, AL",1001 to 5000 employees,1974,Company - Private, Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),None
399,Applied Computer Scientist,$110K-$163K ,4.5,"Systems & Technology Research
4.5","Woburn, MA","Woburn, MA",201 to 500 employees,2010,Company - Private, Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),None
400,Senior Data Analyst,$110K-$163K ,4.5,"Novetta
4.5","Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton"
401,Cloud Data Engineer (Azure),$110K-$163K ,3.9,"Navy Federal Credit Union
3.9","Merrifield, VA","Vienna, VA",10000+ employees,1933,Other Organization,Non Profit,Banks & Credit Unions,Finance,Unknown / Non-Applicable,None
402,"Lead Certified Clinical Laboratory Scientist - Saturday - Tuesday, 8:00pm - 6:30am shift",$110K-$163K ,4,"Exact Sciences Corporation
4.0","Madison, WI","Madison, WI",1001 to 5000 employees,1995,Company - Public, Public,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),None
403,Sr. Data Analyst,$110K-$163K ,3.6,"Community Behavioral Health
3.6","Philadelphia, PA","Phila, PA",201 to 500 employees,1994,Company - Private, Private,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),None
404,Senior Scientist - Toxicologist - Product Integrity (Stewardship),$110K-$163K ,3.3,"Reynolds American
3.3","Winston-Salem, NC","Winston-Salem, NC",5001 to 10000 employees,1875,Company - Private, Private,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),None
405,Senior Machine Learning Engineer,$110K-$163K ,5,"LifeOmic
5.0","Raleigh, NC","Indianapolis, IN",51 to 200 employees,2016,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,None
406,Product Data Scientist - Ads Data Science,$124K-$198K ,4.1,"Twitter
4.1","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2006,Company - Public, Public,Internet,Information Technology,$2 to $5 billion (USD),"Facebook, Google, Pinterest"
407,Data Scientist,$124K-$198K ,3.2,"Postmates - Corporate HQ
3.2","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2011,Company - Private, Private,Express Delivery Services,Transportation & Logistics,Unknown / Non-Applicable,"DoorDash, Uber, Grubhub"
408,Data Scientist,$124K-$198K ,4.9,"Visionist, Inc.
4.9","Columbia, MD","Columbia, MD",51 to 200 employees,2010,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),None
409,Data Scientist,$124K-$198K ,0,Navio,"San Mateo, CA","Half Moon Bay, CA",Unknown,None,Unknown,Non Profit,None,None,Unknown / Non-Applicable,None
410,Data Scientist,$124K-$198K ,3.3,"Concerto HealthAI
3.3","Boston, MA","Boston, MA",201 to 500 employees,2018,Company - Private, Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,None
411,Data Scientist,$124K-$198K ,0,Evolvinc,"Burbank, CA","Los Angeles, CA",1 to 50 employees,2005,Company - Private, Private,IT Services,Information Technology,Unknown / Non-Applicable,None
412,Data Scientist,$124K-$198K ,5,"PROPRIUS
5.0","Sunnyvale, CA","London, United Kingdom",1 to 50 employees,None,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,None
413,Data Scientist,$124K-$198K ,3.4,"TECHNOCRAFT Solutions
3.4","San Ramon, CA","Hilliard, OH",1 to 50 employees,None,Company - Private, Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),None
414,Data Scientist,$124K-$198K ,4.1,"Latitude, Inc.
4.1","Washington, DC","Hanover, MD",1 to 50 employees,None,Company - Private, Private,Consulting,Business Services,$1 to $5 million (USD),None
415,Data Scientist,$124K-$198K ,5,"Royce Geospatial
5.0","Springfield, VA","Arlington, VA",51 to 200 employees,2014,Company - Private, Private,Aerospace & Defense,Aerospace & Defense,$10 to $25 million (USD),None
416,Data Scientist,$124K-$198K ,4.2,"CyberCoders
4.2","Phoenix, AZ","Irvine, CA",201 to 500 employees,1999,Subsidiary or Business Segment,Non Profit,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),None
417,Data Scientist,$124K-$198K ,3.7,"Booz Allen Hamilton Inc.
3.7","Oxnard, CA","Mc Lean, VA",10000+ employees,1914,Company - Public, Public,Consulting,Business Services,$5 to $10 billion (USD),"Accenture, Deloitte, PwC"
418,Data Scientist,$124K-$198K ,3.8,"Burns & McDonnell
3.8","Kansas City, MO","Kansas City, MO",5001 to 10000 employees,1898,Company - Private, Private,Architectural & Engineering Services,Business Services,$1 to $2 billion (USD),"Bechtel Jacobs, Black & Veatch, HNTB"
419,Data Scientist,$124K-$198K ,4.8,"InvenTech Info
4.8","Jersey City, NJ","Bengaluru, India",201 to 500 employees,2010,Company - Private, Private,IT Services,Information Technology,$1 to $5 million (USD),None
420,Data Scientist,$124K-$198K ,3.5,"Robert Half
3.5","Manchester, NH","Menlo Park, CA",10000+ employees,1948,Company - Public, Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"Adecco, Manpower"
421,Analytics - Business Assurance Data Analyst,$124K-$198K ,4.6,"GreatAmerica Financial Services
4.6","Cedar Rapids, IA","Cedar Rapids, IA",501 to 1000 employees,1992,Company - Private, Private,Lending,Finance,$100 to $500 million (USD),None
422,Data Scientist,$124K-$198K ,4.5,"Conflux Systems Inc.
4.5","Winters, TX","Alpharetta, GA",1 to 50 employees,None,Company - Private, Private,Accounting,Accounting & Legal,Less than $1 million (USD),None
423,Data Scientist,$124K-$198K ,3.9,"Criteo
3.9","Ann Arbor, MI","Paris, France",1001 to 5000 employees,2005,Company - Public, Public,Internet,Information Technology,$2 to $5 billion (USD),"MediaMath, Conversant, AppNexus"
424,Data Scientist,$124K-$198K ,3.4,"Voice
3.4","Brooklyn, NY",None,Unknown,None,Company - Private, Private,None,None,Unknown / Non-Applicable,None
425,Data Scientist,$124K-$198K ,0,Microagility,"New York, NY","Princeton, NJ",1 to 50 employees,None,Company - Private, Private,Consulting,Business Services,$1 to $5 million (USD),None
426,Data Scientist,$124K-$198K ,4.1,"Coverent
4.1","McLean, VA","McLean, VA",51 to 200 employees,2008,Company - Private, Private,Consulting,Business Services,$10 to $25 million (USD),None
427,Data Scientist,$79K-$133K ,3.7,"Via Transportation
3.7","New York, NY","New York, NY",501 to 1000 employees,2012,Company - Private, Private,Internet,Information Technology,Unknown / Non-Applicable,None
428,Senior Data Scientist,$79K-$133K ,3.5,"Benson Hill
3.5","Saint Louis, MO","Saint Louis, MO",201 to 500 employees,2012,Company - Private, Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),None
429,Data Scientist,$79K-$133K ,4.6,"Conch Technologies, Inc
4.6","Concord, CA","Memphis, TN",51 to 200 employees,None,Company - Private, Private,Consulting,Business Services,$5 to $10 million (USD),None
430,Data Scientist,$79K-$133K ,0,Falcon IT & Staffing Solutions,"Fort Belvoir, VA","Washington, DC",Unknown,None,Company - Public, Public,None,None,Unknown / Non-Applicable,None
431,Data Scientist,$79K-$133K ,0,"Rainmaker Resources, LLC","Cincinnati, OH","Cincinnati, OH",1 to 50 employees,None,Company - Private, Private,None,None,Unknown / Non-Applicable,None
432,Data Engineer,$79K-$133K ,4.4,"Rocket Lawyer
4.4","San Francisco, CA","San Francisco, CA",51 to 200 employees,2008,Company - Private, Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),None
433,Data Scientist,$79K-$133K ,3.6,"DataLab USA
3.6","Germantown, MD","Germantown, MD",51 to 200 employees,None,Company - Private, Private,IT Services,Information Technology,Unknown / Non-Applicable,"Acxiom, Merkle, Epsilon (North Carolina)"
434,Data Scientist,$79K-$133K ,3.1,"Werner Enterprises Inc
3.1","Omaha, NE","Omaha, NE",10000+ employees,1956,Company - Public, Public,Logistics & Supply Chain,Transportation & Logistics,$2 to $5 billion (USD),None
435,Data Scientist,$79K-$133K ,5,"PeopleCom
5.0","McLean, VA","Reston, VA",1 to 50 employees,None,Company - Private, Private,None,None,$1 to $5 million (USD),None
436,Data Scientist - Machine Learning,$79K-$133K ,5,"VANTA Partners
5.0","Open Fork, VA","Clifton Park, NY",1 to 50 employees,2018,Company - Private, Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,None
437,Data Scientist,$79K-$133K ,0,B4Corp,"Reston, VA","Leesburg, VA",51 to 200 employees,None,Company - Private, Private,IT Services,Information Technology,Unknown / Non-Applicable,None
438,Data Scientist,$79K-$133K ,0,"Blue Icy Water, LLC",United States,"Livonia, MI",1 to 50 employees,None,Company - Private, Private,None,None,Unknown / Non-Applicable,None
439,Data Scientist,$79K-$133K ,3.5,"Farmer's Business Network, Inc.
3.5","San Carlos, CA","San Carlos, CA",201 to 500 employees,2014,Company - Private, Private,Farm Support Services,Agriculture & Forestry,Unknown / Non-Applicable,None
440,Data Scientist,$79K-$133K ,0,Sonde Health,"Boston, MA","Boston, MA",1 to 50 employees,None,Private Practice / Firm,Non Profit,Health Care Services & Hospitals,Health Care,Less than $1 million (USD),None
441,Data Scientist,$79K-$133K ,5,"Maxiom
5.0","Ashburn, VA","Ashburn, VA",1 to 50 employees,None,Company - Public, Public,None,None,Unknown / Non-Applicable,None
442,Data Scientist,$79K-$133K ,2.7,"Change Healthcare
2.7","Lombard, IL","Nashville, TN",10000+ employees,2007,Company - Public, Public,IT Services,Information Technology,Unknown / Non-Applicable,None
443,Data Scientist,$79K-$133K ,4.1,"DCS Corp
4.1","Hampton, VA","Alexandria, VA",1001 to 5000 employees,1977,Company - Private, Private,Research & Development,Business Services,$100 to $500 million (USD),None
444,Data Scientist,$79K-$133K ,2.1,"Hive (CA)
2.1","San Francisco, CA","Los Angeles, CA",Unknown,2019,Company - Private, Private,Telecommunications Services,Telecommunications,Unknown / Non-Applicable,None
445,Machine Learning Engineer/Scientist,$79K-$133K ,4.8,"Jane Street
4.8","New York, NY","New York, NY",501 to 1000 employees,2000,Company - Private, Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,None
446,Data Scientist - Intermediate,$69K-$116K ,4.5,"Envision LLC
4.5","Saint Louis, MO","Saint Louis, MO",201 to 500 employees,1994,Company - Private, Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),None
447,Principal Data Scientist,$69K-$116K ,4,"Autodesk
4.0","San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982,Company - Public, Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),None
448,Data Scientist,$69K-$116K ,3.3,"Hackensack Meridian Health
3.3","Edison, NJ","Edison, NJ",10000+ employees,None,Nonprofit Organization,Non Profit,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),None
449,"Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab",$69K-$116K ,3.9,"Novartis
3.9","Cambridge, MA","Basel, Switzerland",10000+ employees,1996,Company - Public, Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),None
450,Data Scientist,$69K-$116K ,3.2,"Net2Source Inc.
3.2","Alpharetta, GA","Somerset, NJ",1001 to 5000 employees,2007,Company - Private, Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),None
451,Data Scientist,$69K-$116K ,3.2,"The Trade Desk
3.2","Boulder, CO","Ventura, CA",1001 to 5000 employees,2009,Company - Public, Public,Internet,Information Technology,Unknown / Non-Applicable,None
452,Data Scientist- Industrial Discrete Sector Industry,$69K-$116K ,3.7,"IBM
3.7","Atlanta, GA","Armonk, NY",10000+ employees,1911,Company - Public, Public,IT Services,Information Technology,$10+ billion (USD),"Amazon, Accenture, Microsoft"
453,Data Scientist,$69K-$116K ,4.4,"Knowesis Inc.
4.4","Falls Church, VA","Fairfax, VA",51 to 200 employees,2007,Company - Private, Private,Consulting,Business Services,$25 to $50 million (USD),"Booz Allen Hamilton, Deloitte, ERPi"
454,Data Scientist,$69K-$116K ,3.1,"MoTek Technologies
3.1","Mountain View, CA","San Jose, CA",1 to 50 employees,2009,Company - Private, Private,IT Services,Information Technology,$1 to $5 million (USD),None
455,Data Scientist,$69K-$116K ,3.3,"The Davey Tree Expert Company
3.3","Kent, OH","Kent, OH",10000+ employees,1880,Self-employed,employed,Timber Operations,Agriculture & Forestry,$1 to $2 billion (USD),"ACRT Services, Bartlett Tree Experts"
456,Data Scientist,$69K-$116K ,3.5,"HPOne
3.5","Trumbull, CT","Trumbull, CT",501 to 1000 employees,2006,Company - Private, Private,Insurance Carriers,Insurance,$50 to $100 million (USD),None
457,Data Scientist,$69K-$116K ,0,Stride Search,"San Francisco, CA","Westlake Village, CA",1 to 50 employees,None,Company - Private, Private,None,None,Less than $1 million (USD),None
458,Machine Learning Engineer,$69K-$116K ,2.6,"Software Engineering Institute
2.6","Pittsburgh, PA","Pittsburgh, PA",501 to 1000 employees,1984,College / University,Non Profit,Colleges & Universities,Education,Unknown / Non-Applicable,None
459,Data Scientist,$69K-$116K ,0,Blue Cloak LLC,"Sterling, VA",None,None,None,None,1,None,None,None,None
460,Data Scientist,$69K-$116K ,2.7,"TBWA\Chiat\Day
2.7","New York, NY","New York, NY",1001 to 5000 employees,1968,Company - Public, Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),None
461,Data Scientist,$69K-$116K ,3.5,"ThreeBridge Solutions
3.5","Alpharetta, GA","Minneapolis, MN",501 to 1000 employees,2009,Company - Private, Private,Consulting,Business Services,Unknown / Non-Applicable,None
462,Data Scientist,$69K-$116K ,3.2,"Numeric, LLC
3.2","Philadelphia, PA","Chadds Ford, PA",1 to 50 employees,None,Company - Private, Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),None
463,Data Analyst - Unilever Prestige,$69K-$116K ,3.8,"Dermalogica
3.8","Carson, CA","Carson, CA",201 to 500 employees,1986,Subsidiary or Business Segment,Non Profit,Consumer Products Manufacturing,Manufacturing,$100 to $500 million (USD),"IMAGE Skincare, Aveda, Kiehl's"
464,Data Scientist,$69K-$116K ,4.2,"Centraprise
4.2","Foster City, CA","Edison, NJ",51 to 200 employees,None,Company - Private, Private,IT Services,Information Technology,Less than $1 million (USD),None
465,Data Scientist,$69K-$116K ,4.8,"TechProjects
4.8","New York, NY","North Brunswick, NJ",1 to 50 employees,2011,Company - Private, Private,IT Services,Information Technology,Unknown / Non-Applicable,None
466,Data Scientist,$69K-$116K ,4.2,"DW Simpson
4.2","Frederick, MD","Chicago, IL",51 to 200 employees,1989,Company - Private, Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),None
467,Data & Machine Learning Scientist,$31K-$56K ,3.3,"Tempus Labs
3.3","Chicago, IL","Chicago, IL",501 to 1000 employees,2015,Company - Private, Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,None
468,Data Scientist,$31K-$56K ,4,"Grid Dynamics
4.0","Santa Clara, CA","San Ramon, CA",1001 to 5000 employees,2006,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),"Luxoft, EPAM, Capgemini Invent"
469,"VP, Data Science",$31K-$56K ,3.9,"7Park Data
3.9","New York, NY","New York, NY",51 to 200 employees,2012,Company - Private, Private,Research & Development,Business Services,Unknown / Non-Applicable,None
470,Senior Business Intelligence Analyst,$31K-$56K ,3.7,"Protolabs
3.7","Maple Plain, MN","Maple Plain, MN",1001 to 5000 employees,1999,Company - Public, Public,Miscellaneous Manufacturing,Manufacturing,$100 to $500 million (USD),None
471,Data Scientist,$31K-$56K ,3.9,"LinQuest
3.9","Colorado Springs, CO","Los Angeles, CA",501 to 1000 employees,2004,Company - Private, Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),None
472,Data Engineer - Kafka,$31K-$56K ,3.5,"Western Digital
3.5","San Jose, CA","San Jose, CA",10000+ employees,1970,Company - Public, Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Seagate Technology, Toshiba"
473,Data Scientist,$31K-$56K ,4,"Trexquant Investment
4.0",United States,"Stamford, CT",1 to 50 employees,2012,Company - Private, Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,None
474,Data Scientist,$31K-$56K ,3,"Ameritas Life Insurance Corp
3.0","Cincinnati, OH","Lincoln, NE",1001 to 5000 employees,1887,Company - Private, Private,Insurance Agencies & Brokerages,Insurance,$2 to $5 billion (USD),None
475,Data Scientist,$31K-$56K ,3.7,"Fleetcor
3.7","Atlanta, GA","Atlanta, GA",5001 to 10000 employees,2000,Company - Public, Public,Financial Transaction Processing,Finance,$2 to $5 billion (USD),None
476,Data Scientist,$31K-$56K ,4.5,"Radiant Digital
4.5","Washington, DC","New York, NY",1 to 50 employees,None,Company - Private, Private,None,None,Less than $1 million (USD),None
477,Data Scientist,$31K-$56K ,2.8,"Child Care Aware of America
2.8","Arlington, VA","Arlington, VA",51 to 200 employees,1987,Nonprofit Organization,Non Profit,Social Assistance,Non-Profit,$25 to $50 million (USD),None
478,Data Scientist,$31K-$56K ,4.1,"IntelliPro Group Inc.
4.1","Santa Clara, CA","Santa Clara, CA",201 to 500 employees,None,Company - Private, Private,None,None,$10 to $25 million (USD),None
479,In-Line Inspection Data Analyst,$31K-$56K ,2.9,"Quest Integrity
2.9","Tulsa, OK","Kent, WA",201 to 500 employees,1996,Company - Public, Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD),None
480,Data Scientist,$31K-$56K ,4.7,"Praxis Engineering
4.7","Chantilly, VA","Annapolis Junction, MD",201 to 500 employees,2002,Subsidiary or Business Segment,Non Profit,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),"Raytheon Technologies, Northrop Grumman, Booz Allen Hamilton"
481,Data Scientist,$31K-$56K ,3.4,"USI
3.4","Southfield, MI","Saint Paul, MN",1001 to 5000 employees,1998,Company - Private, Private,Construction,"Construction, Repair & Maintenance",$100 to $500 million (USD),None
482,Data Scientist,$31K-$56K ,3.9,"Apex Systems
3.9","San Francisco, CA","Glen Allen, VA",1001 to 5000 employees,1995,Subsidiary or Business Segment,Non Profit,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"TEKsystems, Insight Global, Accenture"
483,Data Scientist,$31K-$56K ,2.9,"Pragmatics, Inc.
2.9",United States,"Reston, VA",201 to 500 employees,1985,Company - Private, Private,IT Services,Information Technology,$100 to $500 million (USD),None
484,Decision Scientist,$31K-$56K ,4.5,"Johns Hopkins University Applied Physics Laboratory
4.5","Laurel, MD","Laurel, MD",5001 to 10000 employees,1942,Nonprofit Organization,Non Profit,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),"MIT Lincoln Laboratory, Lockheed Martin, Northrop Grumman"
485,Data Scientist,$31K-$56K ,4.9,"Cambridge Mobile Telematics
4.9","Cambridge, MA","Cambridge, MA",1 to 50 employees,2010,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,None
486,Data Scientist - TS/SCI FSP or CI Required,$31K-$56K ,5,"Phoenix Operations Group
5.0","Annapolis Junction, MD","Woodbine, MD",1 to 50 employees,2011,Company - Private, Private,IT Services,Information Technology,$1 to $5 million (USD),None
487,"Data Scientist, Applied Machine Learning - Bay Area",$95K-$119K ,3.3,"Tempus Labs
3.3","Redwood City, CA","Chicago, IL",501 to 1000 employees,2015,Company - Private, Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,None
488,Data Scientist,$95K-$119K ,3.5,"The Knot Worldwide
3.5","Washington, DC","Chevy Chase, MD",1001 to 5000 employees,2019,Company - Private, Private,Internet,Information Technology,Unknown / Non-Applicable,Zola Registry
489,Data Scientist,$95K-$119K ,3.5,"Crossover Health
3.5","San Clemente, CA","Aliso Viejo, CA",1 to 50 employees,2010,Company - Private, Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),None
490,Data Scientist,$95K-$119K ,4,"Lorven Technologies Inc
4.0","New York, NY","Plainsboro, NJ",1 to 50 employees,None,Company - Private, Private,Accounting,Accounting & Legal,Less than $1 million (USD),None
491,Data Analyst,$95K-$119K ,3.9,"Nolij Consulting
3.9","Falls Church, VA","Vienna, VA",51 to 200 employees,2012,Company - Public, Public,Consulting,Business Services,$1 to $5 million (USD),None
492,Data Scientist,$95K-$119K ,3.4,"Dice.com
3.4","Newton, MA","Denver, CO",201 to 500 employees,1990,Subsidiary or Business Segment,Non Profit,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"Monster Worldwide, CareerBuilder, Craigslist"
